[  524761ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  534770ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  544778ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  554785ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  564791ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  574800ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  584809ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  594817ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  604826ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  614834ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  624843ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  634852ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  644858ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  654866ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  664872ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  674880ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  684887ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  694895ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  704902ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  714910ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  724918ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  734925ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  744934ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  754941ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  764949ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  774953ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  784960ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
[  794966ms] [ERROR] EventSource's response has a MIME type ("text/html") that is not "text/event-stream". Aborting the connection. @ http://localhost:9090/tools/data-standard-main:0
